scope,front_type,budget,indicator,rank,parameter_family,importance,normalized_importance,n_samples
RE3D,estimatedReferenceFronts,3000,EP,22,blxAlphaCrossoverAlpha,0.0007203593293527183,0.0007203593293527183,938
RE3D,estimatedReferenceFronts,3000,EP,23,selectionTournamentSize,0.00022880503479988238,0.00022880503479988238,938
RE3D,estimatedReferenceFronts,3000,EP,24,algorithmResult,0.0002275311921352316,0.0002275311921352316,938
RE3D,estimatedReferenceFronts,3000,EP,25,fuzzyRecombinationCrossoverAlpha,2.810542483411872e-05,2.810542483411872e-05,938
RE3D,estimatedReferenceFronts,3000,EP,26,pcxCrossoverZeta,1.5326439652655982e-05,1.5326439652655982e-05,938
RE3D,estimatedReferenceFronts,3000,EP,27,undcCrossoverZeta,1.2569123620103935e-05,1.2569123620103935e-05,938
RE3D,estimatedReferenceFronts,3000,EP,28,undcCrossoverEta,9.56889253145354e-06,9.56889253145354e-06,938
RE3D,estimatedReferenceFronts,3000,EP,29,pcxCrossoverEta,2.9403918597021184e-06,2.9403918597021184e-06,938
RE3D,estimatedReferenceFronts,3000,EP,30,laplaceCrossoverScale,1.0065842337233528e-08,1.0065842337233528e-08,938
RWA3D,estimatedReferenceFronts,3000,EP,1,mutationProbabilityFactor,0.4539964965707048,0.4539964965707048,592
RWA3D,estimatedReferenceFronts,3000,EP,2,uniformMutationPerturbation,0.20682799369576585,0.20682799369576585,592
RWA3D,estimatedReferenceFronts,3000,EP,3,populationSizeWithArchive,0.04870523778622745,0.04870523778622745,592
RWA3D,estimatedReferenceFronts,3000,EP,4,levyFlightMutationBeta,0.03938376999227454,0.03938376999227454,592
RWA3D,estimatedReferenceFronts,3000,EP,5,mutationRepairStrategy,0.02726049389835622,0.02726049389835622,592
RWA3D,estimatedReferenceFronts,3000,EP,6,crossoverProbability,0.024916544036585678,0.024916544036585678,592
RWA3D,estimatedReferenceFronts,3000,EP,7,blxAlphaBetaCrossoverAlpha,0.02488739949922235,0.02488739949922235,592
RWA3D,estimatedReferenceFronts,3000,EP,8,blxAlphaBetaCrossoverBeta,0.021770501743693837,0.021770501743693837,592
RWA3D,estimatedReferenceFronts,3000,EP,9,selection,0.02015265184327693,0.02015265184327693,592
RWA3D,estimatedReferenceFronts,3000,EP,10,levyFlightMutationStepSize,0.019667854850771965,0.019667854850771965,592
RWA3D,estimatedReferenceFronts,3000,EP,11,pcxCrossoverZeta,0.017635912645766933,0.017635912645766933,592
RWA3D,estimatedReferenceFronts,3000,EP,12,mutation,0.01652995050757756,0.01652995050757756,592
RWA3D,estimatedReferenceFronts,3000,EP,13,boltzmannTemperature,0.014590687178068511,0.014590687178068511,592
RWA3D,estimatedReferenceFronts,3000,EP,14,pcxCrossoverEta,0.013891459608936844,0.013891459608936844,592
RWA3D,estimatedReferenceFronts,3000,EP,15,createInitialSolutions,0.013536102232912742,0.013536102232912742,592
RWA3D,estimatedReferenceFronts,3000,EP,16,powerLawMutationDelta,0.011599846848874096,0.011599846848874096,592
RWA3D,estimatedReferenceFronts,3000,EP,17,offspringPopulationSize,0.008247281607584558,0.008247281607584558,592
RWA3D,estimatedReferenceFronts,3000,EP,18,crossoverRepairStrategy,0.0073557009913417645,0.0073557009913417645,592
RWA3D,estimatedReferenceFronts,3000,EP,19,selectionTournamentSize,0.0048409229083773014,0.0048409229083773014,592
RWA3D,estimatedReferenceFronts,3000,EP,20,crossover,0.0015501440775257456,0.0015501440775257456,592
RWA3D,estimatedReferenceFronts,3000,EP,21,algorithmResult,0.0014117625031319278,0.0014117625031319278,592
RWA3D,estimatedReferenceFronts,3000,EP,22,blxAlphaCrossoverAlpha,0.0006861833757689565,0.0006861833757689565,592
RWA3D,estimatedReferenceFronts,3000,EP,23,archiveType,0.0005536351907744316,0.0005536351907744316,592
RWA3D,estimatedReferenceFronts,3000,EP,24,laplaceCrossoverScale,1.4664064790190965e-06,1.4664064790190965e-06,592
RE3D,estimatedReferenceFronts,3000,HVMinus,1,populationSizeWithArchive,0.4491165796842253,0.4491165796842252,938
RE3D,estimatedReferenceFronts,3000,HVMinus,2,archiveType,0.14324791413125765,0.14324791413125762,938
RE3D,estimatedReferenceFronts,3000,HVMinus,3,levyFlightMutationBeta,0.07746498573872417,0.07746498573872415,938
RE3D,estimatedReferenceFronts,3000,HVMinus,4,pcxCrossoverZeta,0.06015189000397022,0.060151890003970206,938
RE3D,estimatedReferenceFronts,3000,HVMinus,5,mutationProbabilityFactor,0.02920540195642888,0.029205401956428872,938
RE3D,estimatedReferenceFronts,3000,HVMinus,6,pcxCrossoverEta,0.02723291133572532,0.027232911335725314,938
RE3D,estimatedReferenceFronts,3000,HVMinus,7,mutation,0.025075423115026297,0.02507542311502629,938
RE3D,estimatedReferenceFronts,3000,HVMinus,8,crossoverProbability,0.0237133772495573,0.023713377249557292,938
RE3D,estimatedReferenceFronts,3000,HVMinus,9,blxAlphaBetaCrossoverAlpha,0.021643102893274917,0.021643102893274913,938
RE3D,estimatedReferenceFronts,3000,HVMinus,10,powerLawMutationDelta,0.019692331181360243,0.01969233118136024,938
RE3D,estimatedReferenceFronts,3000,HVMinus,11,polynomialMutationDistributionIndex,0.018562693440213808,0.018562693440213805,938
RE3D,estimatedReferenceFronts,3000,HVMinus,12,selection,0.017761586101062685,0.017761586101062682,938
RE3D,estimatedReferenceFronts,3000,HVMinus,13,blxAlphaBetaCrossoverBeta,0.017170027191643143,0.01717002719164314,938
RE3D,estimatedReferenceFronts,3000,HVMinus,14,selectionTournamentSize,0.01663342139934238,0.016633421399342378,938
RE3D,estimatedReferenceFronts,3000,HVMinus,15,levyFlightMutationStepSize,0.0090959070502717,0.009095907050271699,938
RE3D,estimatedReferenceFronts,3000,HVMinus,16,crossover,0.008092242808408036,0.008092242808408034,938
RE3D,estimatedReferenceFronts,3000,HVMinus,17,laplaceCrossoverScale,0.007604443517235056,0.007604443517235054,938
RE3D,estimatedReferenceFronts,3000,HVMinus,18,offspringPopulationSize,0.00682013491888082,0.006820134918880818,938
RE3D,estimatedReferenceFronts,3000,HVMinus,19,createInitialSolutions,0.0064332365864170245,0.006433236586417023,938
RE3D,estimatedReferenceFronts,3000,HVMinus,20,boltzmannTemperature,0.004180130333567498,0.004180130333567497,938
RE3D,estimatedReferenceFronts,3000,HVMinus,21,algorithmResult,0.0038913592609600093,0.0038913592609600084,938
RE3D,estimatedReferenceFronts,3000,HVMinus,22,linkedPolynomialMutationDistributionIndex,0.003843716001333811,0.0038437160013338103,938
RE3D,estimatedReferenceFronts,3000,HVMinus,23,crossoverRepairStrategy,0.0012897482825713993,0.001289748282571399,938
RE3D,estimatedReferenceFronts,3000,HVMinus,24,undcCrossoverEta,0.0007807130997999128,0.0007807130997999126,938
RE3D,estimatedReferenceFronts,3000,HVMinus,25,mutationRepairStrategy,0.0006716288133997668,0.0006716288133997667,938
RE3D,estimatedReferenceFronts,3000,HVMinus,26,uniformMutationPerturbation,0.0002422972610281471,0.00024229726102814706,938
RE3D,estimatedReferenceFronts,3000,HVMinus,27,undcCrossoverZeta,0.00021982424661987575,0.0002198242466198757,938
RE3D,estimatedReferenceFronts,3000,HVMinus,28,fuzzyRecombinationCrossoverAlpha,7.806668659895263e-05,7.806668659895261e-05,938
RE3D,estimatedReferenceFronts,3000,HVMinus,29,blxAlphaCrossoverAlpha,7.328683164632127e-05,7.328683164632126e-05,938
RE3D,estimatedReferenceFronts,3000,HVMinus,30,nonUniformMutationPerturbation,1.1618879449465232e-05,1.1618879449465229e-05,938
RWA3D,estimatedReferenceFronts,3000,HVMinus,1,crossoverProbability,0.48724712110106283,0.48724712110106294,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,2,levyFlightMutationBeta,0.2821934779733694,0.28219347797336947,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,3,levyFlightMutationStepSize,0.03347133013359864,0.03347133013359865,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,4,offspringPopulationSize,0.02919520082539694,0.029195200825396946,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,5,mutationProbabilityFactor,0.02687475369107604,0.02687475369107605,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,6,createInitialSolutions,0.024985345338430914,0.02498534533843092,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,7,populationSizeWithArchive,0.02282425478894266,0.022824254788942663,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,8,pcxCrossoverEta,0.018179289909220162,0.018179289909220166,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,9,pcxCrossoverZeta,0.01797899282345026,0.017978992823450262,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,10,boltzmannTemperature,0.014804409109272517,0.01480440910927252,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,11,selection,0.008895793126015898,0.0088957931260159,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,12,mutationRepairStrategy,0.007725488628777293,0.007725488628777295,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,13,selectionTournamentSize,0.005536335628462726,0.005536335628462727,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,14,crossoverRepairStrategy,0.005182058657315613,0.005182058657315614,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,15,powerLawMutationDelta,0.003650577169206793,0.003650577169206794,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,16,blxAlphaBetaCrossoverBeta,0.0027595464447170166,0.002759546444717017,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,17,crossover,0.0026203431251348628,0.002620343125134863,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,18,blxAlphaBetaCrossoverAlpha,0.0025471342979484957,0.002547134297948496,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,19,blxAlphaCrossoverAlpha,0.001416966358214275,0.0014169663582142753,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,20,mutation,0.0013895530386414986,0.0013895530386414988,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,21,algorithmResult,0.00027273572554555893,0.000272735725545559,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,22,uniformMutationPerturbation,0.00011233114418238906,0.00011233114418238908,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,23,archiveType,8.967257231779459e-05,8.96725723177946e-05,592
RWA3D,estimatedReferenceFronts,3000,HVMinus,24,laplaceCrossoverScale,4.7288389699323604e-05,4.728838969932362e-05,592
