# Evaluation: 0

EP=0.39231631736170575 HVMinus=-0.585585636206848 | --algorithmResult externalArchive --populationSizeWithArchive 71 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.14277486601705985 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.4940591305839823 --mutation powerLaw --mutationProbabilityFactor 1.2103154317701854 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection tournament --selectionTournamentSize 6 
EP=0.39194561277639206 HVMinus=-0.5852148340545852 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.11647240193540082 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.1994349896390937 --mutation powerLaw --mutationProbabilityFactor 1.1991365005174057 --mutationRepairStrategy round --powerLawMutationDelta 9.593081078042765 --selection boltzmann --boltzmannTemperature 24.02974329137764 

# Evaluation: 700
EP=0.39130669405058366 HVMinus=-0.5848938884227273 | --algorithmResult externalArchive --populationSizeWithArchive 27 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.14333375115593155 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.5884091243386835 --mutation levyFlight --mutationProbabilityFactor 0.8216159221478186 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2059091123042611 --levyFlightMutationStepSize 0.8737642578462758 --selection random 
EP=0.3920014515376182 HVMinus=-0.5855798979033131 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.1975838078664225 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection tournament --selectionTournamentSize 9 
EP=0.39190250639838076 HVMinus=-0.5854726683145555 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.11645614378402482 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.6886546546648932 --pcxCrossoverEta 0.1390854275419596 --mutation powerLaw --mutationProbabilityFactor 1.1993682119578883 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection boltzmann --boltzmannTemperature 24.001522075047948 
EP=0.3913760394094085 HVMinus=-0.5850462051519063 | --algorithmResult externalArchive --populationSizeWithArchive 66 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5885132405581832 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.1997154636376237 --mutationRepairStrategy round --powerLawMutationDelta 8.51040237413203 --selection boltzmann --boltzmannTemperature 24.02974329137764 
EP=0.39230266307002265 HVMinus=-0.5856697807069592 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9313608598523292 --mutation powerLaw --mutationProbabilityFactor 1.1800935301285127 --mutationRepairStrategy round --powerLawMutationDelta 9.561911580426349 --selection tournament --selectionTournamentSize 2 
EP=0.3924567255873543 HVMinus=-0.5857551949562214 | --algorithmResult externalArchive --populationSizeWithArchive 62 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.12708082023354764 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9138083382240132 --mutation powerLaw --mutationProbabilityFactor 1.197626071278616 --mutationRepairStrategy round --powerLawMutationDelta 9.562954718367543 --selection tournament --selectionTournamentSize 8 
