family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,oppositionBased,0.06382978723404255,0.06896551724137931,0.005135730007336761
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,scatterSearch,0.12411347517730496,0.1724137931034483,0.048300317926143324
RE3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,sobol,0.1702127659574468,0.13793103448275862,-0.032281731474688186
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,cauchy,0.4148936170212766,0.43859649122807015,0.023702874206793567
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,default,0.10638297872340426,0.10526315789473684,-0.00111982082866742
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,latinHypercubeSampling,0.12056737588652482,0.10526315789473684,-0.01530421799178798
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,oppositionBased,0.06382978723404255,0.08771929824561403,0.023889511011571482
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,scatterSearch,0.12411347517730496,0.14035087719298245,0.016237402015677485
RE3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,sobol,0.1702127659574468,0.12280701754385964,-0.04740574841358716
RE3D,extremePointsFronts,1000,EP,0.05,crossover,BLX-alpha,0.3546099290780142,0.3333333333333333,-0.021276595744680882
RE3D,extremePointsFronts,1000,EP,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.6666666666666666,0.02127659574468077
RE3D,extremePointsFronts,1000,EP,0.1,crossover,BLX-alpha,0.3546099290780142,0.27586206896551724,-0.07874786011249696
RE3D,extremePointsFronts,1000,EP,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.7241379310344828,0.0787478601124969
RE3D,extremePointsFronts,1000,EP,0.2,crossover,BLX-alpha,0.3546099290780142,0.2982456140350877,-0.056364315042926494
RE3D,extremePointsFronts,1000,EP,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.7017543859649122,0.05636431504292638
RE3D,extremePointsFronts,1000,HV,0.05,crossover,BLX-alpha,0.3546099290780142,1.0,0.6453900709219857
RE3D,extremePointsFronts,1000,HV,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.0,-0.6453900709219859
RE3D,extremePointsFronts,1000,HV,0.1,crossover,BLX-alpha,0.3546099290780142,0.7241379310344828,0.36952800195646857
RE3D,extremePointsFronts,1000,HV,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.27586206896551724,-0.3695280019564686
RE3D,extremePointsFronts,1000,HV,0.2,crossover,BLX-alpha,0.3546099290780142,0.631578947368421,0.2769690182904068
RE3D,extremePointsFronts,1000,HV,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.3684210526315789,-0.27696901829040693
RE3D,extremePointsFronts,1000,joint,0.05,crossover,BLX-alpha,0.3546099290780142,0.7333333333333333,0.3787234042553191
RE3D,extremePointsFronts,1000,joint,0.05,crossover,BLX-alpha-beta,0.6453900709219859,0.26666666666666666,-0.3787234042553192
RE3D,extremePointsFronts,1000,joint,0.1,crossover,BLX-alpha,0.3546099290780142,0.7241379310344828,0.36952800195646857
RE3D,extremePointsFronts,1000,joint,0.1,crossover,BLX-alpha-beta,0.6453900709219859,0.27586206896551724,-0.3695280019564686
RE3D,extremePointsFronts,1000,joint,0.2,crossover,BLX-alpha,0.3546099290780142,0.6140350877192983,0.25942515864128407
RE3D,extremePointsFronts,1000,joint,0.2,crossover,BLX-alpha-beta,0.6453900709219859,0.38596491228070173,-0.2594251586412841
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,0.7333333333333333,0.09503546099290772
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.2,-0.012765957446808501
RE3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.06666666666666667,-0.08226950354609928
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.7241379310344828,0.0858400586940572
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.20689655172413793,-0.005869405722670584
RE3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.06896551724137931,-0.07997065297138664
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.6491228070175439,0.010824934677118314
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.22807017543859648,0.015304217991787966
RE3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.12280701754385964,-0.026129152668906308
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,1.0,0.36170212765957444
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.0,-0.14893617021276595
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.9310344827586207,0.2927366104181951
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.034482758620689655,-0.17828319882611887
RE3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.034482758620689655,-0.1144534115920763
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.8947368421052632,0.2564389697648376
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.03508771929824561,-0.1776782381485629
RE3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.07017543859649122,-0.07876073161627473
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,bounds,0.6382978723404256,1.0,0.36170212765957444
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,round,0.14893617021276595,0.0,-0.14893617021276595
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,bounds,0.6382978723404256,0.9655172413793104,0.3272193690388848
