family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,categorical,282,57,3,2,bounds,0.631578947368421
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,categorical,282,15,4,4,5,0.4
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,categorical,282,29,4,4,5,0.4482758620689655
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,categorical,282,57,4,4,5,0.47368421052631576
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,categorical,282,15,4,3,5,0.7333333333333333
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,categorical,282,29,4,3,5,0.5862068965517241
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,categorical,282,57,4,3,5,0.5263157894736842
RE3D,extremePointsFronts,1000,joint,0.05,offspringPopulationSize,categorical,282,15,4,3,1,0.4
RE3D,extremePointsFronts,1000,joint,0.1,offspringPopulationSize,categorical,282,29,4,3,5,0.41379310344827586
RE3D,extremePointsFronts,1000,joint,0.2,offspringPopulationSize,categorical,282,57,4,3,5,0.5263157894736842
RE3D,extremePointsFronts,1000,EP,0.05,selection,categorical,282,15,5,4,boltzmann,0.4666666666666667
RE3D,extremePointsFronts,1000,EP,0.1,selection,categorical,282,29,5,4,boltzmann,0.41379310344827586
RE3D,extremePointsFronts,1000,EP,0.2,selection,categorical,282,57,5,5,boltzmann,0.40350877192982454
RE3D,extremePointsFronts,1000,HV,0.05,selection,categorical,282,15,5,3,boltzmann,0.8
RE3D,extremePointsFronts,1000,HV,0.1,selection,categorical,282,29,5,4,boltzmann,0.6551724137931034
RE3D,extremePointsFronts,1000,HV,0.2,selection,categorical,282,57,5,4,boltzmann,0.5964912280701754
RE3D,extremePointsFronts,1000,joint,0.05,selection,categorical,282,15,5,3,boltzmann,0.8
RE3D,extremePointsFronts,1000,joint,0.1,selection,categorical,282,29,5,3,boltzmann,0.6896551724137931
RE3D,extremePointsFronts,1000,joint,0.2,selection,categorical,282,57,5,4,boltzmann,0.6140350877192983
RE3D,extremePointsFronts,1000,EP,0.05,variation,categorical,282,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,EP,0.1,variation,categorical,282,29,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,EP,0.2,variation,categorical,282,57,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,HV,0.05,variation,categorical,282,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,HV,0.1,variation,categorical,282,29,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,HV,0.2,variation,categorical,282,57,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,joint,0.05,variation,categorical,282,15,1,1,crossoverAndMutationVariation,1.0
RE3D,extremePointsFronts,1000,joint,0.1,variation,categorical,282,29,1,1,crossoverAndMutationVariation,1.0
