family,front_type,budget,run,checkpoint_eval,checkpoint_fraction,incumbent_found_at,distance_to_final_elite_medoid
RWA3D,extremePointsFronts,1000,10,300,0.1,300,0.4015095696063672
RWA3D,extremePointsFronts,1000,10,800,0.26666666666666666,800,0.2568028370509663
RWA3D,extremePointsFronts,1000,10,1500,0.5,1300,0.2228834439332535
RWA3D,extremePointsFronts,1000,10,2300,0.7666666666666667,2100,0.1370621748816604
RWA3D,extremePointsFronts,1000,10,3000,1.0,2100,0.1370621748816604
RWA3D,extremePointsFronts,1000,11,300,0.1,300,0.32709922322333707
RWA3D,extremePointsFronts,1000,11,800,0.26666666666666666,500,0.2043209351851879
RWA3D,extremePointsFronts,1000,11,1500,0.5,1500,0.10212598809746275
RWA3D,extremePointsFronts,1000,11,2300,0.7666666666666667,2200,0.14497616646613556
RWA3D,extremePointsFronts,1000,11,3000,1.0,2600,0.13809937736842232
RWA3D,extremePointsFronts,1000,12,300,0.1,300,0.19703323619897273
RWA3D,extremePointsFronts,1000,12,800,0.26666666666666666,600,0.2583556794311194
RWA3D,extremePointsFronts,1000,12,1500,0.5,1300,0.1284820437213402
RWA3D,extremePointsFronts,1000,12,2300,0.7666666666666667,2300,0.009764958587591965
RWA3D,extremePointsFronts,1000,12,3000,1.0,2900,0.0
RWA3D,extremePointsFronts,1000,13,300,0.1,200,0.24321559432935863
RWA3D,extremePointsFronts,1000,13,800,0.26666666666666666,800,0.15806251423395212
RWA3D,extremePointsFronts,1000,13,1500,0.5,1200,0.05189223263477678
RWA3D,extremePointsFronts,1000,13,2300,0.7666666666666667,2100,0.052585057955263234
RWA3D,extremePointsFronts,1000,13,3000,1.0,2100,0.052585057955263234
RWA3D,extremePointsFronts,1000,14,300,0.1,300,0.42257976745293097
RWA3D,extremePointsFronts,1000,14,800,0.26666666666666666,800,0.3035213363745966
RWA3D,extremePointsFronts,1000,14,1500,0.5,1300,0.3847795679047725
RWA3D,extremePointsFronts,1000,14,2300,0.7666666666666667,2200,0.2284567683323568
RWA3D,extremePointsFronts,1000,14,3000,1.0,2200,0.2284567683323568
RWA3D,extremePointsFronts,1000,15,300,0.1,300,0.22710571129064655
RWA3D,extremePointsFronts,1000,15,800,0.26666666666666666,800,0.08450032756988876
RWA3D,extremePointsFronts,1000,15,1500,0.5,1400,0.07495077824686294
RWA3D,extremePointsFronts,1000,15,2300,0.7666666666666667,1900,0.08319572281460376
RWA3D,extremePointsFronts,1000,15,3000,1.0,2800,0.07786141375253364
RWA3D,extremePointsFronts,1000,16,300,0.1,200,0.24250464631848256
RWA3D,extremePointsFronts,1000,16,800,0.26666666666666666,600,0.13513325426230743
RWA3D,extremePointsFronts,1000,16,1500,0.5,1400,0.24981362111753508
RWA3D,extremePointsFronts,1000,16,2300,0.7666666666666667,2000,0.27017778017410543
RWA3D,extremePointsFronts,1000,16,3000,1.0,3000,0.24954208763071545
RWA3D,extremePointsFronts,1000,17,300,0.1,300,0.34782349731804824
RWA3D,extremePointsFronts,1000,17,800,0.26666666666666666,800,0.3283157009397453
RWA3D,extremePointsFronts,1000,17,1500,0.5,1300,0.3333305538168164
RWA3D,extremePointsFronts,1000,17,2300,0.7666666666666667,2200,0.295241429411646
RWA3D,extremePointsFronts,1000,17,3000,1.0,3000,0.2594985810199181
RWA3D,extremePointsFronts,1000,18,300,0.1,300,0.28277247621660967
RWA3D,extremePointsFronts,1000,18,800,0.26666666666666666,800,0.12822676523805732
RWA3D,extremePointsFronts,1000,18,1500,0.5,1500,0.2198145381569295
RWA3D,extremePointsFronts,1000,18,2300,0.7666666666666667,1900,0.05622489345557537
RWA3D,extremePointsFronts,1000,18,3000,1.0,2500,0.21500336272054588
RWA3D,extremePointsFronts,1000,19,300,0.1,300,0.3893583318844774
RWA3D,extremePointsFronts,1000,19,800,0.26666666666666666,800,0.2461009206947587
RWA3D,extremePointsFronts,1000,19,1500,0.5,1200,0.278769293828372
RWA3D,extremePointsFronts,1000,19,2300,0.7666666666666667,2200,0.18555818676764455
RWA3D,extremePointsFronts,1000,19,3000,1.0,2700,0.21664404320213249
RWA3D,extremePointsFronts,1000,20,300,0.1,300,0.3564399798811807
RWA3D,extremePointsFronts,1000,20,800,0.26666666666666666,800,0.3930213658329391
RWA3D,extremePointsFronts,1000,20,1500,0.5,1400,0.32834765368325336
RWA3D,extremePointsFronts,1000,20,2300,0.7666666666666667,1700,0.27940271782204623
RWA3D,extremePointsFronts,1000,20,3000,1.0,2700,0.2950644927516438
RWA3D,extremePointsFronts,1000,21,300,0.1,300,0.27338757354178705
RWA3D,extremePointsFronts,1000,21,800,0.26666666666666666,800,0.303354062989315
RWA3D,extremePointsFronts,1000,21,1500,0.5,1200,0.2631385788127584
RWA3D,extremePointsFronts,1000,21,2300,0.7666666666666667,1200,0.2631385788127584
RWA3D,extremePointsFronts,1000,21,3000,1.0,1200,0.2631385788127584
RWA3D,extremePointsFronts,1000,22,300,0.1,100,0.3272115379813433
RWA3D,extremePointsFronts,1000,22,800,0.26666666666666666,700,0.2159609445619784
RWA3D,extremePointsFronts,1000,22,1500,0.5,1400,0.08593626181922429
RWA3D,extremePointsFronts,1000,22,2300,0.7666666666666667,1600,0.062155254091455704
RWA3D,extremePointsFronts,1000,22,3000,1.0,1600,0.062155254091455704
RWA3D,extremePointsFronts,1000,23,300,0.1,200,0.30338478209340247
RWA3D,extremePointsFronts,1000,23,800,0.26666666666666666,700,0.36655880460578016
RWA3D,extremePointsFronts,1000,23,1500,0.5,1500,0.2392928049452208
RWA3D,extremePointsFronts,1000,23,2300,0.7666666666666667,1800,0.21407187917358653
RWA3D,extremePointsFronts,1000,23,3000,1.0,1800,0.21407187917358653
RWA3D,extremePointsFronts,1000,24,300,0.1,300,0.3977186380093792
RWA3D,extremePointsFronts,1000,24,800,0.26666666666666666,700,0.25601248523435705
RWA3D,extremePointsFronts,1000,24,1500,0.5,1000,0.183040261854992
RWA3D,extremePointsFronts,1000,24,2300,0.7666666666666667,1600,0.21281134761677326
RWA3D,extremePointsFronts,1000,24,3000,1.0,1600,0.21281134761677326
RWA3D,extremePointsFronts,1000,25,300,0.1,300,0.36822267456815555
RWA3D,extremePointsFronts,1000,25,800,0.26666666666666666,800,0.19384856101320208
RWA3D,extremePointsFronts,1000,25,1500,0.5,1300,0.24832808903992448
RWA3D,extremePointsFronts,1000,25,2300,0.7666666666666667,2300,0.24713876495763812
RWA3D,extremePointsFronts,1000,25,3000,1.0,2300,0.24713876495763812
RWA3D,extremePointsFronts,1000,26,300,0.1,300,0.25881155924179045
RWA3D,extremePointsFronts,1000,26,800,0.26666666666666666,700,0.28339259328754296
RWA3D,extremePointsFronts,1000,26,1500,0.5,1100,0.3153755915877358
RWA3D,extremePointsFronts,1000,26,2300,0.7666666666666667,1600,0.24860887896050535
RWA3D,extremePointsFronts,1000,26,3000,1.0,2500,0.24496113247549575
RWA3D,extremePointsFronts,1000,27,300,0.1,300,0.408270356788983
RWA3D,extremePointsFronts,1000,27,800,0.26666666666666666,800,0.2999748936880667
RWA3D,extremePointsFronts,1000,27,1500,0.5,1500,0.11361984866680573
RWA3D,extremePointsFronts,1000,27,2300,0.7666666666666667,1500,0.11361984866680573
RWA3D,extremePointsFronts,1000,27,3000,1.0,1500,0.11361984866680573
RWA3D,extremePointsFronts,1000,28,300,0.1,300,0.33360715009003467
RWA3D,extremePointsFronts,1000,28,800,0.26666666666666666,800,0.23825567236325837
RWA3D,extremePointsFronts,1000,28,1500,0.5,1200,0.19945215499942573
RWA3D,extremePointsFronts,1000,28,2300,0.7666666666666667,1200,0.19945215499942573
RWA3D,extremePointsFronts,1000,28,3000,1.0,1200,0.19945215499942573
RWA3D,extremePointsFronts,1000,29,300,0.1,300,0.3985913219450798
RWA3D,extremePointsFronts,1000,29,800,0.26666666666666666,600,0.3866988416911665
RWA3D,extremePointsFronts,1000,29,1500,0.5,1400,0.34928605555854636
RWA3D,extremePointsFronts,1000,29,2300,0.7666666666666667,1400,0.34928605555854636
RWA3D,extremePointsFronts,1000,29,3000,1.0,2800,0.3060886909189867
RWA3D,extremePointsFronts,1000,30,300,0.1,300,0.2431190830014438
RWA3D,extremePointsFronts,1000,30,800,0.26666666666666666,800,0.34582832989599915
RWA3D,extremePointsFronts,1000,30,1500,0.5,1400,0.14342242523599477
RWA3D,extremePointsFronts,1000,30,2300,0.7666666666666667,2200,0.14557199371457957
RWA3D,extremePointsFronts,1000,30,3000,1.0,2500,0.14205240785622408
RE3D,referenceFronts,1000,1,300,0.1,300,0.30702103385144364
RE3D,referenceFronts,1000,1,800,0.26666666666666666,800,0.24760644991086855
RE3D,referenceFronts,1000,1,1500,0.5,1500,0.22943096568906446
RE3D,referenceFronts,1000,1,2300,0.7666666666666667,2200,0.22545582677668768
RE3D,referenceFronts,1000,1,3000,1.0,2900,0.16604788725264502
RE3D,referenceFronts,1000,2,300,0.1,300,0.33791822788539244
RE3D,referenceFronts,1000,2,800,0.26666666666666666,800,0.36899607046205535
RE3D,referenceFronts,1000,2,1500,0.5,1500,0.27413016794846845
RE3D,referenceFronts,1000,2,2300,0.7666666666666667,2100,0.2150948252796683
RE3D,referenceFronts,1000,2,3000,1.0,2500,0.25222731825020084
RE3D,referenceFronts,1000,3,300,0.1,300,0.4541891136408855
RE3D,referenceFronts,1000,3,800,0.26666666666666666,800,0.1902485982077162
RE3D,referenceFronts,1000,3,1500,0.5,1300,0.2669942963793843
RE3D,referenceFronts,1000,3,2300,0.7666666666666667,1300,0.2669942963793843
RE3D,referenceFronts,1000,3,3000,1.0,2900,0.16037027066233006
RE3D,referenceFronts,1000,4,300,0.1,300,0.44987512066266166
RE3D,referenceFronts,1000,4,800,0.26666666666666666,800,0.2853501081930232
RE3D,referenceFronts,1000,4,1500,0.5,1500,0.3189836642565276
RE3D,referenceFronts,1000,4,2300,0.7666666666666667,2000,0.2338453621400592
RE3D,referenceFronts,1000,4,3000,1.0,2000,0.2338453621400592
RE3D,referenceFronts,1000,5,300,0.1,200,0.521866671249737
RE3D,referenceFronts,1000,5,800,0.26666666666666666,700,0.30375903244360125
RE3D,referenceFronts,1000,5,1500,0.5,1200,0.3090115191009861
RE3D,referenceFronts,1000,5,2300,0.7666666666666667,2100,0.3332399791192555
RE3D,referenceFronts,1000,5,3000,1.0,3000,0.22687372829478547
RE3D,referenceFronts,1000,6,300,0.1,300,0.4382921521763862
RE3D,referenceFronts,1000,6,800,0.26666666666666666,700,0.2982771509534955
RE3D,referenceFronts,1000,6,1500,0.5,1500,0.28276928076286945
RE3D,referenceFronts,1000,6,2300,0.7666666666666667,2300,0.27305165673555015
RE3D,referenceFronts,1000,6,3000,1.0,3000,0.2144133176523014
RE3D,referenceFronts,1000,7,300,0.1,300,0.43106787455603157
RE3D,referenceFronts,1000,7,800,0.26666666666666666,800,0.372932435769378
RE3D,referenceFronts,1000,7,1500,0.5,1300,0.3914079274867253
RE3D,referenceFronts,1000,7,2300,0.7666666666666667,1300,0.3914079274867253
RE3D,referenceFronts,1000,7,3000,1.0,2500,0.3597430959411174
RE3D,referenceFronts,1000,8,300,0.1,200,0.5405912789626734
RE3D,referenceFronts,1000,8,800,0.26666666666666666,800,0.250293879646856
RE3D,referenceFronts,1000,8,1500,0.5,1500,0.24234245008007435
RE3D,referenceFronts,1000,8,2300,0.7666666666666667,2300,0.27633237291702123
RE3D,referenceFronts,1000,8,3000,1.0,2400,0.2759823797359536
RE3D,referenceFronts,1000,9,300,0.1,300,0.47013681248505385
RE3D,referenceFronts,1000,9,800,0.26666666666666666,800,0.4134712470170159
RE3D,referenceFronts,1000,9,1500,0.5,1400,0.415440180434626
RE3D,referenceFronts,1000,9,2300,0.7666666666666667,2100,0.3002381791684464
RE3D,referenceFronts,1000,9,3000,1.0,3000,0.26788630185215406
RE3D,referenceFronts,1000,10,300,0.1,300,0.5433022368201185
RE3D,referenceFronts,1000,10,800,0.26666666666666666,800,0.18765261828125585
RE3D,referenceFronts,1000,10,1500,0.5,1400,0.31088110534814467
RE3D,referenceFronts,1000,10,2300,0.7666666666666667,2300,0.27603765334798075
RE3D,referenceFronts,1000,10,3000,1.0,2300,0.27603765334798075
RE3D,referenceFronts,1000,11,300,0.1,300,0.28657822376682596
RE3D,referenceFronts,1000,11,800,0.26666666666666666,800,0.4341441488020304
