config_signature,rows,runs,ep_median,hv_median,rank,row_share_pct,run_share_pct,scope,front_type,budget,is_best_EP,is_best_HV,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
externalArchive|29.0|unboundedArchive|latinHypercubeSampling|10|crossoverAndMutationVariation|BLX-alpha|0.987104|bounds|nan|0.952878|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|0.050459|round|nan|nan|nan|nan|nan|nan|2.428262|ranking|nan|nan,1,1,0.1504850438844005,-0.8496831555489418,21,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,29.0,unboundedArchive,latinHypercubeSampling,10,crossoverAndMutationVariation,BLX-alpha,0.9871041241780152,bounds,,0.952878034453129,,,,,,,,,powerLaw,0.0504594521003388,round,,,,,,,2.428262232549036,ranking,,
externalArchive|14.0|unboundedArchive|sobol|5|crossoverAndMutationVariation|BLX-alpha-beta|0.988519|bounds|nan|nan|0.645938|0.859066|nan|nan|nan|nan|nan|nan|levyFlight|0.444003|bounds|nan|nan|nan|nan|1.837859|0.73791|nan|random|nan|nan,1,1,0.1504867027212069,-0.8491393745120053,22,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,14.0,unboundedArchive,sobol,5,crossoverAndMutationVariation,BLX-alpha-beta,0.988519011178388,bounds,,,0.64593782393758,0.859066239042185,,,,,,,levyFlight,0.4440030608365111,bounds,,,,,1.837859146698059,0.7379097468890069,,random,,
externalArchive|39.0|unboundedArchive|sobol|5|crossoverAndMutationVariation|BLX-alpha-beta|0.900328|round|nan|nan|0.745442|0.937666|nan|nan|nan|nan|nan|nan|levyFlight|0.34128|bounds|nan|nan|nan|nan|1.12728|0.911583|nan|boltzmann|nan|28.407908,1,1,0.150487679493459,-0.849166146321558,23,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,39.0,unboundedArchive,sobol,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9003278981387968,round,,,0.7454418196384469,0.9376663283856268,,,,,,,levyFlight,0.3412798904022235,bounds,,,,,1.1272803034090866,0.9115825040115644,,boltzmann,,28.407907938190224
externalArchive|19.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha|0.990405|bounds|nan|0.889933|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|0.409112|round|nan|nan|nan|nan|nan|nan|8.018674|boltzmann|nan|14.494524,1,1,0.1504991686716492,-0.8495139020622418,24,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,19.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha,0.9904050587162604,bounds,,0.8899333092163811,,,,,,,,,powerLaw,0.409112335674146,round,,,,,,,8.01867415736712,boltzmann,,14.49452351210411
externalArchive|16.0|unboundedArchive|default|5|crossoverAndMutationVariation|BLX-alpha-beta|0.990529|random|nan|nan|0.557442|0.944083|nan|nan|nan|nan|nan|nan|levyFlight|0.697798|bounds|nan|nan|nan|nan|1.834359|0.771934|nan|random|nan|nan,1,1,0.1505005382732486,-0.8493229992581439,25,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,16.0,unboundedArchive,default,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9905285793189756,random,,,0.5574423401419264,0.9440831914532748,,,,,,,levyFlight,0.6977975814341199,bounds,,,,,1.8343588757107745,0.7719336331427465,,random,,
externalArchive|20.0|unboundedArchive|scatterSearch|20|crossoverAndMutationVariation|BLX-alpha-beta|0.866477|random|nan|nan|0.737569|0.922751|nan|nan|nan|nan|nan|nan|levyFlight|0.79075|bounds|nan|nan|nan|nan|1.832924|0.594669|nan|boltzmann|nan|17.713438,1,1,0.1505083119857918,-0.8488174661633147,26,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,20.0,unboundedArchive,scatterSearch,20,crossoverAndMutationVariation,BLX-alpha-beta,0.8664765626251191,random,,,0.7375691024387717,0.9227513717624136,,,,,,,levyFlight,0.7907495391632842,bounds,,,,,1.8329235797144592,0.5946691469470489,,boltzmann,,17.713438079414296
externalArchive|17.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.942984|bounds|nan|nan|0.755316|0.971646|nan|nan|nan|nan|nan|nan|levyFlight|0.710508|bounds|nan|nan|nan|nan|1.548676|0.937317|nan|random|nan|nan,1,1,0.1505111438019275,-0.8490720475824166,27,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,17.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.9429843969776908,bounds,,,0.7553164875769169,0.9716455601023788,,,,,,,levyFlight,0.7105076771545038,bounds,,,,,1.5486762181275269,0.9373166102163416,,random,,
externalArchive|24.0|unboundedArchive|latinHypercubeSampling|5|crossoverAndMutationVariation|BLX-alpha|0.991081|bounds|nan|0.999141|nan|nan|nan|nan|nan|nan|nan|nan|levyFlight|0.047842|random|nan|nan|nan|nan|1.191929|0.38987|nan|random|nan|nan,1,1,0.150517639977435,-0.8492614625549735,28,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,24.0,unboundedArchive,latinHypercubeSampling,5,crossoverAndMutationVariation,BLX-alpha,0.9910813592442652,bounds,,0.9991414880249868,,,,,,,,,levyFlight,0.0478417107536925,random,,,,,1.1919291186464809,0.3898695913815546,,random,,
externalArchive|73.0|unboundedArchive|sobol|5|crossoverAndMutationVariation|BLX-alpha-beta|0.988734|random|nan|nan|0.622446|0.880823|nan|nan|nan|nan|nan|nan|linkedPolynomial|0.794689|bounds|nan|nan|172.722552|nan|nan|nan|nan|ranking|nan|nan,1,1,0.1505206256534373,-0.8471324575569191,29,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,73.0,unboundedArchive,sobol,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9887335045397608,random,,,0.6224462147578704,0.8808226854580927,,,,,,,linkedPolynomial,0.7946885899797077,bounds,,,172.7225516781314,,,,,ranking,,
externalArchive|16.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.993588|bounds|nan|nan|0.466314|0.884724|nan|nan|nan|nan|nan|nan|levyFlight|0.731324|bounds|nan|nan|nan|nan|1.551024|0.833471|nan|boltzmann|nan|31.349945,1,1,0.1505376275768357,-0.8492865366569218,30,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,16.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.993588084154158,bounds,,,0.466313983052025,0.8847235870970296,,,,,,,levyFlight,0.7313235698860332,bounds,,,,,1.5510241379345668,0.8334708638838042,,boltzmann,,31.349945410554707
externalArchive|16.0|unboundedArchive|cauchy|1|crossoverAndMutationVariation|BLX-alpha-beta|0.957604|bounds|nan|nan|0.427977|0.946142|nan|nan|nan|nan|nan|nan|levyFlight|0.613562|bounds|nan|nan|nan|nan|1.665812|0.630874|nan|ranking|nan|nan,1,1,0.1505525546039995,-0.8487065392253352,31,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,16.0,unboundedArchive,cauchy,1,crossoverAndMutationVariation,BLX-alpha-beta,0.9576039516053628,bounds,,,0.4279767865496603,0.946141890452284,,,,,,,levyFlight,0.6135621468905383,bounds,,,,,1.6658124693337404,0.6308741764164522,,ranking,,
externalArchive|22.0|unboundedArchive|latinHypercubeSampling|10|crossoverAndMutationVariation|BLX-alpha-beta|0.998291|bounds|nan|nan|0.754957|0.973189|nan|nan|nan|nan|nan|nan|levyFlight|0.710578|bounds|nan|nan|nan|nan|1.501785|0.85974|nan|random|nan|nan,1,1,0.1505569179783387,-0.8491721265377398,32,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,22.0,unboundedArchive,latinHypercubeSampling,10,crossoverAndMutationVariation,BLX-alpha-beta,0.998290634770189,bounds,,,0.7549573438631964,0.9731889500987548,,,,,,,levyFlight,0.7105779221379218,bounds,,,,,1.5017853421601686,0.8597395334471448,,random,,
externalArchive|15.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.986801|round|nan|nan|0.593292|0.842113|nan|nan|nan|nan|nan|nan|levyFlight|0.472822|bounds|nan|nan|nan|nan|1.098347|0.850539|nan|boltzmann|nan|25.296236,1,1,0.1505598280938863,-0.8492842766188403,33,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,15.0,unboundedArchive,cauchy,10,crossoverAndMutationVariation,BLX-alpha-beta,0.9868011902185504,round,,,0.5932916947195472,0.8421125974186744,,,,,,,levyFlight,0.472821733750726,bounds,,,,,1.0983473931832746,0.8505387634612153,,boltzmann,,25.296236275923484
externalArchive|22.0|unboundedArchive|oppositionBased|5|crossoverAndMutationVariation|BLX-alpha|0.9942|bounds|nan|0.996382|nan|nan|nan|nan|nan|nan|nan|nan|levyFlight|0.433874|bounds|nan|nan|nan|nan|1.418742|0.2408|nan|random|nan|nan,1,1,0.1505660428649665,-0.8495504246631828,34,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,22.0,unboundedArchive,oppositionBased,5,crossoverAndMutationVariation,BLX-alpha,0.9941998544122514,bounds,,0.9963824763415132,,,,,,,,,levyFlight,0.433873599531684,bounds,,,,,1.4187421946676702,0.2407996078530407,,random,,
externalArchive|74.0|unboundedArchive|sobol|5|crossoverAndMutationVariation|BLX-alpha-beta|0.988795|random|nan|nan|0.648768|0.883042|nan|nan|nan|nan|nan|nan|linkedPolynomial|0.79403|bounds|nan|nan|199.41028|nan|nan|nan|nan|ranking|nan|nan,1,1,0.1505708384573282,-0.8475963064790852,35,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,74.0,unboundedArchive,sobol,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9887950085244508,random,,,0.648767690814315,0.8830421156070088,,,,,,,linkedPolynomial,0.7940302744062699,bounds,,,199.41028022421472,,,,,ranking,,
externalArchive|23.0|unboundedArchive|default|5|crossoverAndMutationVariation|BLX-alpha-beta|0.973735|round|nan|nan|0.770725|0.90765|nan|nan|nan|nan|nan|nan|uniform|0.860136|bounds|0.612087|nan|nan|nan|nan|nan|nan|boltzmann|nan|26.589077,1,1,0.1505763175445774,-0.849235433108125,36,0.3546099290780142,3.3333333333333335,RE3D,extremePointsFronts,1000,False,False,externalArchive,23.0,unboundedArchive,default,5,crossoverAndMutationVariation,BLX-alpha-beta,0.9737346864916048,round,,,0.7707251780545559,0.9076495494878456,,,,,,,uniform,0.8601363862755687,bounds,0.6120870614713367,,,,,,,boltzmann,,26.58907695559872
