Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII-Std,RE36,EP,20,0.0013225820214208032
NSGAII-Std,RE36,EP,21,0.001082640044374031
NSGAII-Std,RE36,EP,22,0.001082640044374031
NSGAII-Std,RE36,EP,23,0.0040548942645485505
NSGAII-Std,RE36,EP,24,0.0013225820214206533
NSGAII-Std,RE36,EP,25,0.02702702702702703
NSGAII-Std,RE36,EP,26,0.05405405405405406
NSGAII-Std,RE36,EP,27,0.006439884143148992
NSGAII-Std,RE36,EP,28,0.0013225820214208032
NSGAII-Std,RE36,EP,29,0.005764371821462916
NSGAII-Std,RE37,EP,0,0.10382911791421107
NSGAII-Std,RE37,EP,1,0.08545099006752757
NSGAII-Std,RE37,EP,2,0.09012128163380284
NSGAII-Std,RE37,EP,3,0.09060144495918018
NSGAII-Std,RE37,EP,4,0.09469762381645622
NSGAII-Std,RE37,EP,5,0.1088042509593995
NSGAII-Std,RE37,EP,6,0.09912380638730839
NSGAII-Std,RE37,EP,7,0.09877058683104573
NSGAII-Std,RE37,EP,8,0.0918473869732701
NSGAII-Std,RE37,EP,9,0.14005720937105776
NSGAII-Std,RE37,EP,10,0.10783969961269407
NSGAII-Std,RE37,EP,11,0.09419711724961277
NSGAII-Std,RE37,EP,12,0.10654816479848572
NSGAII-Std,RE37,EP,13,0.12478221314592039
NSGAII-Std,RE37,EP,14,0.10979573328447667
NSGAII-Std,RE37,EP,15,0.11969256799856098
NSGAII-Std,RE37,EP,16,0.12353018408115646
NSGAII-Std,RE37,EP,17,0.10992663770039018
NSGAII-Std,RE37,EP,18,0.13332668207228326
NSGAII-Std,RE37,EP,19,0.10897297905226266
NSGAII-Std,RE37,EP,20,0.0804125432052003
NSGAII-Std,RE37,EP,21,0.08775977645699873
NSGAII-Std,RE37,EP,22,0.09510336712739487
NSGAII-Std,RE37,EP,23,0.13429064607726926
NSGAII-Std,RE37,EP,24,0.08901003664658862
NSGAII-Std,RE37,EP,25,0.08971575409881999
NSGAII-Std,RE37,EP,26,0.11511378185226706
NSGAII-Std,RE37,EP,27,0.11111834109984309
NSGAII-Std,RE37,EP,28,0.08434263809090115
NSGAII-Std,RE37,EP,29,0.10453415890910894
NSGAII-Std,RE41,EP,0,0.5282074161675143
NSGAII-Std,RE41,EP,1,0.5282074161675143
NSGAII-Std,RE41,EP,2,0.5282074161675143
NSGAII-Std,RE41,EP,3,0.5282074161675143
NSGAII-Std,RE41,EP,4,0.5282074161675143
NSGAII-Std,RE41,EP,5,0.5282074161675143
NSGAII-Std,RE41,EP,6,0.5282074161675143
NSGAII-Std,RE41,EP,7,0.5282074161675143
NSGAII-Std,RE41,EP,8,0.5282074161675143
NSGAII-Std,RE41,EP,9,0.5282074161675143
NSGAII-Std,RE41,EP,10,0.5282074161675143
NSGAII-Std,RE41,EP,11,0.5282074161675143
NSGAII-Std,RE41,EP,12,0.5282074161675143
NSGAII-Std,RE41,EP,13,0.5282074161675143
NSGAII-Std,RE41,EP,14,0.5282074161675143
NSGAII-Std,RE41,EP,15,0.5282074161675143
NSGAII-Std,RE41,EP,16,0.5282074161675143
NSGAII-Std,RE41,EP,17,0.5282074161675143
NSGAII-Std,RE41,EP,18,0.5282074161675143
NSGAII-Std,RE41,EP,19,0.5282074161675143
NSGAII-Std,RE41,EP,20,0.5282074161675143
NSGAII-Std,RE41,EP,21,0.5282074161675143
NSGAII-Std,RE41,EP,22,0.5282074161675143
NSGAII-Std,RE41,EP,23,0.5282074161675143
NSGAII-Std,RE41,EP,24,0.5282074161675143
NSGAII-Std,RE41,EP,25,0.5282074161675143
NSGAII-Std,RE41,EP,26,0.5282074161675143
NSGAII-Std,RE41,EP,27,0.5282074161675143
NSGAII-Std,RE41,EP,28,0.5282074161675143
NSGAII-Std,RE41,EP,29,0.5282074161675143
NSGAII-Std,RE42,EP,0,0.0921090503214978
NSGAII-Std,RE42,EP,1,0.06747845341532846
NSGAII-Std,RE42,EP,2,0.0646750027139914
NSGAII-Std,RE42,EP,3,0.07082833643985484
NSGAII-Std,RE42,EP,4,0.06445158203783294
NSGAII-Std,RE42,EP,5,0.07487296910682262
NSGAII-Std,RE42,EP,6,0.04137830924804531
NSGAII-Std,RE42,EP,7,0.0840944192923021
NSGAII-Std,RE42,EP,8,0.07175341270500374
NSGAII-Std,RE42,EP,9,0.07174365825018555
NSGAII-Std,RE42,EP,10,0.05424449900630823
NSGAII-Std,RE42,EP,11,0.06208380618941178
NSGAII-Std,RE42,EP,12,0.057703523453448924
NSGAII-Std,RE42,EP,13,0.09348217962866814
NSGAII-Std,RE42,EP,14,0.048701039190836015
NSGAII-Std,RE42,EP,15,0.0665498072169553
NSGAII-Std,RE42,EP,16,0.06214997044087285
NSGAII-Std,RE42,EP,17,0.06378571429898344
NSGAII-Std,RE42,EP,18,0.06985445475200608
NSGAII-Std,RE42,EP,19,0.07777177762554344
NSGAII-Std,RE42,EP,20,0.0829184505351131
NSGAII-Std,RE42,EP,21,0.06628387060138485
NSGAII-Std,RE42,EP,22,0.037725612696588334
NSGAII-Std,RE42,EP,23,0.048468815633835094
NSGAII-Std,RE42,EP,24,0.09343842301800187
NSGAII-Std,RE42,EP,25,0.061297486021573394
NSGAII-Std,RE42,EP,26,0.05849652658912474
NSGAII-Std,RE42,EP,27,0.03646836979400947
NSGAII-Std,RE42,EP,28,0.04782243942000686
NSGAII-Std,RE42,EP,29,0.04453515476635092
NSGAII-Std,RE61,EP,0,0.25889427596814507
NSGAII-Std,RE61,EP,1,0.1928505430011992
NSGAII-Std,RE61,EP,2,0.14993224718744852
NSGAII-Std,RE61,EP,3,0.2973532565392476
NSGAII-Std,RE61,EP,4,0.14217446940356449
NSGAII-Std,RE61,EP,5,0.12104011425399652
NSGAII-Std,RE61,EP,6,0.1483088788322392
NSGAII-Std,RE61,EP,7,0.23508012297859615
NSGAII-Std,RE61,EP,8,0.277397535449604
NSGAII-Std,RE61,EP,9,0.163894136011371
NSGAII-Std,RE61,EP,10,0.11318855030157471
NSGAII-Std,RE61,EP,11,0.1985147070657213
NSGAII-Std,RE61,EP,12,0.16005436031094672
NSGAII-Std,RE61,EP,13,0.22116316832966434
NSGAII-Std,RE61,EP,14,0.15092705442274845
NSGAII-Std,RE61,EP,15,0.17676711793788238
NSGAII-Std,RE61,EP,16,0.21072085716864664
NSGAII-Std,RE61,EP,17,0.15593229062996797
NSGAII-Std,RE61,EP,18,0.19709194951302755
NSGAII-Std,RE61,EP,19,0.1342955691666169
NSGAII-Std,RE61,EP,20,0.1634768041184584
NSGAII-Std,RE61,EP,21,0.1473441977981434
NSGAII-Std,RE61,EP,22,0.22991895237765553
NSGAII-Std,RE61,EP,23,0.23809731150260896
NSGAII-Std,RE61,EP,24,0.15688780312229472
NSGAII-Std,RE61,EP,25,0.17347524051931223
NSGAII-Std,RE61,EP,26,0.25080915135672105
NSGAII-Std,RE61,EP,27,0.13770247189246543
NSGAII-Std,RE61,EP,28,0.1439850258350393
NSGAII-Std,RE61,EP,29,0.19582319401073767
NSGAII-Std,RE91,EP,0,0.35932256058141615
NSGAII-Std,RE91,EP,1,0.2986523302984105
NSGAII-Std,RE91,EP,2,0.32624633050845864
NSGAII-Std,RE91,EP,3,0.29287034626365577
NSGAII-Std,RE91,EP,4,0.30048485234691835
NSGAII-Std,RE91,EP,5,0.33874252809822936
NSGAII-Std,RE91,EP,6,0.3526607581201682
NSGAII-Std,RE91,EP,7,0.3087139471038432
NSGAII-Std,RE91,EP,8,0.3226032402708883
NSGAII-Std,RE91,EP,9,0.30378514046700483
NSGAII-Std,RE91,EP,10,0.33524318279248017
NSGAII-Std,RE91,EP,11,0.3270359405472897
NSGAII-Std,RE91,EP,12,0.3385435847489201
NSGAII-Std,RE91,EP,13,0.3444084339470116
NSGAII-Std,RE91,EP,14,0.33727563569086905
