Benchmark,Frente,Budget,Parametro,Accion,supported_views,recommended_value,recommended_min,recommended_max
RWA3D,Real,1000,powerLawMutationDelta,Mantener,,,,
RWA3D,Real,1000,sbxDistributionIndex,Mantener,,,,
RWA3D,Real,1000,selection,Mantener,,,,
RWA3D,Real,1000,selectionTournamentSize,Mantener,,,,
RWA3D,Real,1000,undcCrossoverEta,Mantener,,,,
RWA3D,Real,1000,undcCrossoverZeta,Mantener,,,,
RWA3D,Real,1000,uniformMutationPerturbation,Mantener,,,,
RWA3D,Real,1000,blxAlphaBetaCrossoverAlpha,Acotar,HV|joint,,0.9131347365598116,0.9990804783694116
RWA3D,Real,1000,populationSizeWithArchive,Acotar,EP|HV|joint,,18.625,49.375
RE3D,Puntos extremos,3000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RE3D,Puntos extremos,3000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RE3D,Puntos extremos,3000,crossover,Fijar,EP|joint,laplace,,
RE3D,Puntos extremos,3000,crossoverRepairStrategy,Fijar,HV|joint,bounds,,
RE3D,Puntos extremos,3000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RE3D,Puntos extremos,3000,blxAlphaBetaCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,3000,blxAlphaBetaCrossoverBeta,Mantener,,,,
RE3D,Puntos extremos,3000,blxAlphaCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,3000,boltzmannTemperature,Mantener,,,,
RE3D,Puntos extremos,3000,createInitialSolutions,Mantener,,,,
RE3D,Puntos extremos,3000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,3000,levyFlightMutationStepSize,Mantener,,,,
RE3D,Puntos extremos,3000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,3000,mutation,Mantener,,,,
RE3D,Puntos extremos,3000,mutationProbabilityFactor,Mantener,,,,
RE3D,Puntos extremos,3000,mutationRepairStrategy,Mantener,,,,
RE3D,Puntos extremos,3000,nonUniformMutationPerturbation,Mantener,,,,
RE3D,Puntos extremos,3000,offspringPopulationSize,Mantener,,,,
RE3D,Puntos extremos,3000,pcxCrossoverEta,Mantener,,,,
RE3D,Puntos extremos,3000,pcxCrossoverZeta,Mantener,,,,
RE3D,Puntos extremos,3000,polynomialMutationDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,3000,populationSizeWithArchive,Mantener,,,,
RE3D,Puntos extremos,3000,sbxDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,3000,selection,Mantener,,,,
RE3D,Puntos extremos,3000,selectionTournamentSize,Mantener,,,,
RE3D,Puntos extremos,3000,undcCrossoverEta,Mantener,,,,
RE3D,Puntos extremos,3000,undcCrossoverZeta,Mantener,,,,
RE3D,Puntos extremos,3000,uniformMutationPerturbation,Mantener,,,,
RE3D,Puntos extremos,3000,crossoverProbability,Acotar,HV|joint,,0.7321219211923939,0.9988056279031728
RE3D,Puntos extremos,3000,laplaceCrossoverScale,Acotar,EP|HV|joint,,0.4317708593736892,0.4997319909925619
RE3D,Puntos extremos,3000,levyFlightMutationBeta,Acotar,EP|joint,,1.300026006248796,1.7653741126041798
RE3D,Puntos extremos,3000,powerLawMutationDelta,Acotar,HV|joint,,7.334343686229223,9.999761267082638
RWA3D,Puntos extremos,3000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RWA3D,Puntos extremos,3000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RWA3D,Puntos extremos,3000,mutation,Fijar,EP|HV|joint,powerLaw,,
RWA3D,Puntos extremos,3000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RWA3D,Puntos extremos,3000,blxAlphaCrossoverAlpha,Mantener,,,,
RWA3D,Puntos extremos,3000,boltzmannTemperature,Mantener,,,,
RWA3D,Puntos extremos,3000,createInitialSolutions,Mantener,,,,
RWA3D,Puntos extremos,3000,crossover,Mantener,,,,
RWA3D,Puntos extremos,3000,crossoverProbability,Mantener,,,,
RWA3D,Puntos extremos,3000,crossoverRepairStrategy,Mantener,,,,
RWA3D,Puntos extremos,3000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RWA3D,Puntos extremos,3000,laplaceCrossoverScale,Mantener,,,,
RWA3D,Puntos extremos,3000,levyFlightMutationBeta,Mantener,,,,
RWA3D,Puntos extremos,3000,levyFlightMutationStepSize,Mantener,,,,
RWA3D,Puntos extremos,3000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RWA3D,Puntos extremos,3000,mutationRepairStrategy,Mantener,,,,
RWA3D,Puntos extremos,3000,nonUniformMutationPerturbation,Mantener,,,,
RWA3D,Puntos extremos,3000,offspringPopulationSize,Mantener,,,,
RWA3D,Puntos extremos,3000,pcxCrossoverEta,Mantener,,,,
RWA3D,Puntos extremos,3000,pcxCrossoverZeta,Mantener,,,,
RWA3D,Puntos extremos,3000,polynomialMutationDistributionIndex,Mantener,,,,
RWA3D,Puntos extremos,3000,powerLawMutationDelta,Mantener,,,,
RWA3D,Puntos extremos,3000,sbxDistributionIndex,Mantener,,,,
RWA3D,Puntos extremos,3000,selection,Mantener,,,,
RWA3D,Puntos extremos,3000,selectionTournamentSize,Mantener,,,,
RWA3D,Puntos extremos,3000,undcCrossoverEta,Mantener,,,,
RWA3D,Puntos extremos,3000,undcCrossoverZeta,Mantener,,,,
RWA3D,Puntos extremos,3000,uniformMutationPerturbation,Mantener,,,,
RWA3D,Puntos extremos,3000,blxAlphaBetaCrossoverAlpha,Acotar,EP|HV|joint,,0.6922430977287399,0.9971039272830088
