Evaluation,SolutionId,EP,HVMinus
2700,8,0.17465021986364596,-0.5851768200323723
2700,9,0.1746474274796526,-0.5851673177927238
2700,10,0.17522968275341355,-0.5854216068748194
2700,11,0.1771308061315937,-0.5859957032558917
2700,12,0.1749280529525844,-0.5853591803504034
2700,13,0.17660221623743777,-0.5859575425903608
2700,14,0.17461228402338946,-0.5848913623088615
2700,15,0.17599376843722866,-0.5858433939310067
2700,16,0.17542895668535283,-0.5854714784962861
2800,0,0.17644474142778624,-0.5859301662995645
2800,1,0.1748328902737832,-0.5852475106002767
2800,2,0.17551883054088294,-0.5855487301777565
2800,3,0.1771964565895933,-0.5860135174946729
2800,4,0.17628586731180373,-0.585870964726415
2800,5,0.17588499430971669,-0.5856707364023253
2800,6,0.17570340877356674,-0.5856650367835202
2800,7,0.17592841330164963,-0.5857968290602241
2800,8,0.17465021986364596,-0.5851768200323723
2800,9,0.1746474274796526,-0.5851673177927238
2800,10,0.17522968275341355,-0.5854216068748194
2800,11,0.1771308061315937,-0.5859957032558917
2800,12,0.1749280529525844,-0.5853591803504034
2800,13,0.17660221623743777,-0.5859575425903608
2800,14,0.17461228402338946,-0.5848913623088615
2800,15,0.17599376843722866,-0.5858433939310067
2800,16,0.17542895668535283,-0.5854714784962861
2800,17,0.17477376447121493,-0.5852438279551935
2800,18,0.17533563793974738,-0.5854242665472785
2900,0,0.17644474142778624,-0.5859301662995645
2900,1,0.1748328902737832,-0.5852475106002767
2900,2,0.17551883054088294,-0.5855487301777565
2900,3,0.1771964565895933,-0.5860135174946729
2900,4,0.17628586731180373,-0.585870964726415
2900,5,0.17588499430971669,-0.5856707364023253
2900,6,0.17570340877356674,-0.5856650367835202
2900,7,0.17592841330164963,-0.5857968290602241
2900,8,0.17465021986364596,-0.5851768200323723
2900,9,0.1746474274796526,-0.5851673177927238
2900,10,0.17522968275341355,-0.5854216068748194
2900,11,0.1771308061315937,-0.5859957032558917
2900,12,0.1749280529525844,-0.5853591803504034
2900,13,0.17660221623743777,-0.5859575425903608
2900,14,0.17461228402338946,-0.5848913623088615
2900,15,0.17599376843722866,-0.5858433939310067
2900,16,0.17542895668535283,-0.5854714784962861
2900,17,0.17477376447121493,-0.5852438279551935
2900,18,0.17533563793974738,-0.5854242665472785
3000,0,0.17644474142778624,-0.5859301662995645
3000,1,0.1748328902737832,-0.5852475106002767
3000,2,0.17551883054088294,-0.5855487301777565
3000,3,0.1771964565895933,-0.5860135174946729
3000,4,0.17628586731180373,-0.585870964726415
3000,5,0.17588499430971669,-0.5856707364023253
3000,6,0.17570340877356674,-0.5856650367835202
3000,7,0.17592841330164963,-0.5857968290602241
3000,8,0.17465021986364596,-0.5851768200323723
3000,9,0.1746474274796526,-0.5851673177927238
3000,10,0.17522968275341355,-0.5854216068748194
3000,11,0.1771308061315937,-0.5859957032558917
3000,12,0.1749280529525844,-0.5853591803504034
3000,13,0.17660221623743777,-0.5859575425903608
3000,14,0.17461228402338946,-0.5848913623088615
3000,15,0.17599376843722866,-0.5858433939310067
3000,16,0.17542895668535283,-0.5854714784962861
3000,17,0.17477376447121493,-0.5852438279551935
3000,18,0.17533563793974738,-0.5854242665472785
3000,19,0.17516576654026217,-0.585397332418479
3000,0,0.17644474142778624,-0.5859301662995645
3000,1,0.1748328902737832,-0.5852475106002767
3000,2,0.17551883054088294,-0.5855487301777565
3000,3,0.1771964565895933,-0.5860135174946729
3000,4,0.17628586731180373,-0.585870964726415
3000,5,0.17588499430971669,-0.5856707364023253
3000,6,0.17570340877356674,-0.5856650367835202
3000,7,0.17592841330164963,-0.5857968290602241
3000,8,0.17465021986364596,-0.5851768200323723
3000,9,0.1746474274796526,-0.5851673177927238
3000,10,0.17522968275341355,-0.5854216068748194
3000,11,0.1771308061315937,-0.5859957032558917
3000,12,0.1749280529525844,-0.5853591803504034
3000,13,0.17660221623743777,-0.5859575425903608
3000,14,0.17461228402338946,-0.5848913623088615
3000,15,0.17599376843722866,-0.5858433939310067
3000,16,0.17542895668535283,-0.5854714784962861
3000,17,0.17477376447121493,-0.5852438279551935
3000,18,0.17533563793974738,-0.5854242665472785
3000,19,0.17516576654026217,-0.585397332418479
