family,front_type,budget,parameter,parameter_kind,stabilization_eval_median,stabilization_eval_min,stabilization_eval_max,stabilization_pct_median,stable_by_50_pct,stable_by_75_pct,stable_by_100_pct
RE3D,referenceFronts,1000,createInitialSolutions,categorical,2300.0,300,3000,76.7,0.4666666666666667,0.4666666666666667,1.0
RE3D,referenceFronts,1000,crossoverProbability,numerical,2300.0,800,3000,76.7,0.26666666666666666,0.26666666666666666,1.0
RE3D,referenceFronts,1000,mutationProbabilityFactor,numerical,2300.0,800,3000,76.7,0.26666666666666666,0.26666666666666666,1.0
RE3D,referenceFronts,1000,populationSizeWithArchive,numerical,2300.0,800,3000,76.7,0.4666666666666667,0.4666666666666667,1.0
RWA3D,referenceFronts,1000,algorithmResult,categorical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,archiveType,categorical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,blxAlphaCrossoverAlpha,numerical,300.0,300,3000,10.0,0.8333333333333334,0.8333333333333334,1.0
RWA3D,referenceFronts,1000,fuzzyRecombinationCrossoverAlpha,numerical,300.0,300,1500,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,laplaceCrossoverScale,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,linkedPolynomialMutationDistributionIndex,numerical,300.0,300,300,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,mutation,categorical,300.0,300,3000,10.0,0.8666666666666667,0.8666666666666667,1.0
RWA3D,referenceFronts,1000,mutationRepairStrategy,categorical,300.0,300,1500,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,nonUniformMutationPerturbation,numerical,300.0,300,1500,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,pcxCrossoverEta,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,pcxCrossoverZeta,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,polynomialMutationDistributionIndex,numerical,300.0,300,300,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,sbxDistributionIndex,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,undcCrossoverEta,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,undcCrossoverZeta,numerical,300.0,300,800,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,uniformMutationPerturbation,numerical,300.0,300,800,10.0,1.0,1.0,1.0
