# Evaluation: 0

EP=0.15213117530679085 HVMinus=-0.851102143001213 | --algorithmResult externalArchive --populationSizeWithArchive 14 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.984220179941253 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6720575907238303 --mutation nonUniform --mutationProbabilityFactor 0.5889466000029155 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.4864195051611181 --selection stochasticUniversalSampling 
EP=0.1512353200157562 HVMinus=-0.850717678334952 | --algorithmResult externalArchive --populationSizeWithArchive 109 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6173073656538965 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.18875400973263373 --blxAlphaBetaCrossoverAlpha 0.8753444789849665 --mutation levyFlight --mutationProbabilityFactor 0.8834678654248395 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2630005220192342 --levyFlightMutationStepSize 0.4202517505552509 --selection ranking 
EP=0.15142056720695588 HVMinus=-0.8507734719255706 | --algorithmResult externalArchive --populationSizeWithArchive 56 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.3336729804171846 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9499463577522376 --mutation levyFlight --mutationProbabilityFactor 0.5914824328367567 --mutationRepairStrategy round --levyFlightMutationBeta 1.903796917422723 --levyFlightMutationStepSize 0.6085192971230664 --selection tournament --selectionTournamentSize 2 
EP=0.15257313259611108 HVMinus=-0.851104919187385 | --algorithmResult externalArchive --populationSizeWithArchive 14 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.984220179941253 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6721040533745068 --mutation nonUniform --mutationProbabilityFactor 0.5889466000029155 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.4864195051611181 --selection stochasticUniversalSampling 

# Evaluation: 600
EP=0.15092828853282375 HVMinus=-0.8502856395784286 | --algorithmResult externalArchive --populationSizeWithArchive 15 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6616369867645555 --mutation powerLaw --mutationProbabilityFactor 1.6637557654625441 --mutationRepairStrategy bounds --powerLawMutationDelta 2.24230568139496 --selection stochasticUniversalSampling 
EP=0.15071899203524847 HVMinus=-0.8494951311838496 | --algorithmResult externalArchive --populationSizeWithArchive 15 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6629794510719915 --mutation powerLaw --mutationProbabilityFactor 1.648085755321048 --mutationRepairStrategy round --powerLawMutationDelta 2.24230568139496 --selection stochasticUniversalSampling 
EP=0.15213117530679085 HVMinus=-0.851102143001213 | --algorithmResult externalArchive --populationSizeWithArchive 14 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.984220179941253 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6720575907238303 --mutation nonUniform --mutationProbabilityFactor 0.5889466000029155 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.4864195051611181 --selection stochasticUniversalSampling 
EP=0.15257313259611108 HVMinus=-0.851104919187385 | --algorithmResult externalArchive --populationSizeWithArchive 14 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.984220179941253 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6721040533745068 --mutation nonUniform --mutationProbabilityFactor 0.5889466000029155 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.4864195051611181 --selection stochasticUniversalSampling 
EP=0.15116386703919465 HVMinus=-0.8509114857161597 | --algorithmResult externalArchive --populationSizeWithArchive 88 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6066642628227196 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 2.3939916342599354 --selection ranking 
EP=0.1517524014078548 HVMinus=-0.850943956603109 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6186866098677399 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.933515758985683 --blxAlphaBetaCrossoverAlpha 0.9206201093267925 --mutation powerLaw --mutationProbabilityFactor 0.9306737449081437 --mutationRepairStrategy bounds --powerLawMutationDelta 7.705902331810131 --selection ranking 
EP=0.1519752094831663 HVMinus=-0.8510518569485892 | --algorithmResult externalArchive --populationSizeWithArchive 59 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6159557587269571 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 6.77518098969001 --selection ranking 
