# Evaluation: 0

EP=0.01666528960235863 HVMinus=-0.8514971277364028 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35645582644725626 --mutation levyFlight --mutationProbabilityFactor 0.4092526663608048 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.015743737077546182 HVMinus=-0.8513946929451478 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35655640588153426 --mutation levyFlight --mutationProbabilityFactor 0.407287613354412 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016348574003155165 HVMinus=-0.8514070416880963 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.888661771288763 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35768779735156786 --mutation levyFlight --mutationProbabilityFactor 0.8576897172781189 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016386406604179456 HVMinus=-0.8514722002534737 | --algorithmResult externalArchive --populationSizeWithArchive 177 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8377498814201623 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3045252623611483 --mutation levyFlight --mutationProbabilityFactor 0.8755834754135653 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.847609147783031 --levyFlightMutationStepSize 0.8195550105735432 --selection ranking 
EP=0.01635925481399312 HVMinus=-0.8514647579826524 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8780978333068372 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3534140944077395 --mutation levyFlight --mutationProbabilityFactor 0.3997914615634319 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.8009470194419652 --selection ranking 

# Evaluation: 900
EP=0.015743737077546182 HVMinus=-0.8513946929451478 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35655640588153426 --mutation levyFlight --mutationProbabilityFactor 0.407287613354412 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016067822088621543 HVMinus=-0.8515073906713672 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8302544989898778 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35656028516170435 --mutation levyFlight --mutationProbabilityFactor 0.39620184280171244 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.4868049603571223 --levyFlightMutationStepSize 0.38229970022234344 --selection ranking 

