# Evaluation: 0

EP=0.15147134592331243 HVMinus=-0.847446773521227 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275732812017894 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 

# Evaluation: 600
EP=0.15139537953545856 HVMinus=-0.8442726750752028 | --algorithmResult externalArchive --populationSizeWithArchive 87 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6631848659316829 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7762865167051564 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.8034493773815243 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 134.28761122376523 --selection stochasticUniversalSampling 
EP=0.15602720780536883 HVMinus=-0.8477084246524261 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15147134592331243 HVMinus=-0.847446773521227 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275732812017894 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15571006417150657 HVMinus=-0.8476650432816963 | --algorithmResult externalArchive --populationSizeWithArchive 42 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7279517207824842 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7590039352673728 --blxAlphaBetaCrossoverAlpha 0.9222095001053777 --mutation levyFlight --mutationProbabilityFactor 1.1616796697498823 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5481499739185551 --levyFlightMutationStepSize 0.7129018502402198 --selection stochasticUniversalSampling 

# Evaluation: 700
EP=0.15139537953545856 HVMinus=-0.8442726750752028 | --algorithmResult externalArchive --populationSizeWithArchive 87 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6631848659316829 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7762865167051564 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.8034493773815243 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 134.28761122376523 --selection stochasticUniversalSampling 
EP=0.15147134592331243 HVMinus=-0.847446773521227 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275732812017894 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15354905840817265 HVMinus=-0.8480213597997995 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7279517207824842 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6970902790899971 --blxAlphaBetaCrossoverAlpha 0.9222095001053777 --mutation levyFlight --mutationProbabilityFactor 0.8056467076971987 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5727118855636677 --levyFlightMutationStepSize 0.7126788742141487 --selection stochasticUniversalSampling 
EP=0.15114439713108083 HVMinus=-0.8439581931889943 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6250165961210675 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5861737809665003 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.7764764594292459 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 179.48997284025864 --selection stochasticUniversalSampling 

# Evaluation: 800
EP=0.15147134592331243 HVMinus=-0.847446773521227 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275732812017894 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15114439713108083 HVMinus=-0.8439581931889943 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6250165961210675 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5861737809665003 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.7764764594292459 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 179.48997284025864 --selection stochasticUniversalSampling 
EP=0.15129887112932064 HVMinus=-0.845762743431324 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7291033652074423 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5599376017043158 --blxAlphaBetaCrossoverAlpha 0.9004077788937398 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5561216246624694 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
