# Evaluation: 0

EP=0.1519391562686335 HVMinus=-0.846764193226001 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8776424972036497 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2843505550312124 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5962283572632896 --levyFlightMutationStepSize 0.23182018295870022 --selection boltzmann --boltzmannTemperature 12.401799936356628 

# Evaluation: 700
EP=0.1519391562686335 HVMinus=-0.846764193226001 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8776424972036497 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.31592695411080285 --mutation levyFlight --mutationProbabilityFactor 1.2843505550312124 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5962283572632896 --levyFlightMutationStepSize 0.23182018295870022 --selection boltzmann --boltzmannTemperature 12.401799936356628 
EP=0.15217869725174188 HVMinus=-0.8472489912899185 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7908468035865338 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9084127778197946 --mutation nonUniform --mutationProbabilityFactor 0.6893857016399528 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.5062821575524722 --selection ranking 
EP=0.1522985596934571 HVMinus=-0.8484464482312201 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.8820031507268202 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.5740639219016921 --pcxCrossoverEta 0.7639202121747788 --mutation levyFlight --mutationProbabilityFactor 0.6893857016399528 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5925526074695315 --levyFlightMutationStepSize 0.9375491803025904 --selection boltzmann --boltzmannTemperature 10.72367996644716 
EP=0.15632498708287793 HVMinus=-0.8487412629422011 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.878537370615775 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9633161475620666 --mutation levyFlight --mutationProbabilityFactor 0.6968697177762744 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1426953556725223 --levyFlightMutationStepSize 0.2888819915402772 --selection boltzmann --boltzmannTemperature 10.73890108766344 

# Evaluation: 800
EP=0.15217869725174188 HVMinus=-0.8472489912899185 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7908468035865338 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9084127778197946 --mutation nonUniform --mutationProbabilityFactor 0.6893857016399528 --mutationRepairStrategy bounds --nonUniformMutationPerturbation 0.5062821575524722 --selection ranking 
EP=0.1522985596934571 HVMinus=-0.8484464482312201 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.8820031507268202 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.5740639219016921 --pcxCrossoverEta 0.7639202121747788 --mutation levyFlight --mutationProbabilityFactor 0.6893857016399528 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5925526074695315 --levyFlightMutationStepSize 0.9375491803025904 --selection boltzmann --boltzmannTemperature 10.72367996644716 
